id ,ja ,en
759,を操作する,operate
760,おじぎをする,bow
761,を持ち上げる,lift
762,ボートを漕ぐ,row
763,転がる,roll
764,浮かぶ,float
765,を削除する,eliminate
766,信頼,confidence
767,努力,effort
768,好意,favor
769,責任のある,responsible
770,真剣な,serious
771,好奇心の強い,curious
772,攻撃的な,aggressive
773,優れた,superior
774,劣った,inferior
775,年上の,senior
776,年下の,junior
777,を好む,prefer
778,泥棒,thief
779,罪,crime
780,戦い,battle
781,武器 兵器,weapon
782,敵,enemy
783,警報,alarm
784,有罪の,guilty
785,非行の,delinquent
786,あわれみ,pity
787,嫌がる,dislike
788,ためらう,hesitate
789,後悔する,regret
790,導く 案内,lead
791,行う,conduct
792,向ける,direct
793,影響を与えるi,influence
794,影響を与えるa,affect
795,を使う,exert
796,一番好きな,favorite
797,好意的な,favorable
798,工業,industrial
799,勤勉な,industrious
800,敏感な,sensitive
801,分別がある,sensible
802,陳列 掲示,display
803,手配,arrange
804,まねる,imitate
805,示す,indicate
806,振る舞う,behave
807,引きつけた,attract
808,成功した,successful
809,連続の,successive
810,読み書きができる,literate
811,文字通りの,literal
812,文学の,literary
813,子供っぽい　幼稚な,childish
814,子供らしい,childlike
815,健康に良い,healthful
816,健康的な,healthy
817,非常に価値のある　非常に重要な,invaluable
818,価値のない,valueless
819,男らしい,manly
820,男っぽい,mannish
821,社会の,social
822,社交的な,sociable
823,似てる,alike
824,同類の，よく似ている,similar
825,等しい,equal
826,種類　様々な,variety
827,はっきり述べる　状況,state
828,言及する,refer
829,主張する,claim
830,賛成する,approve
831,を勧める,recommend
832,返事をする,reply
833,訂正する,correct
834,受け入れる　引き入れる,accept
835,討論,debate
836,にもかかわらず,despite
837,を越えて,beyond
838,の下に,beneath
839,のほかに,besides
840,の至る所に,throughout
841,したがって,therefor
842,とにかく,anyway
843,一度,once
844,高い,hight
845,安い　l,low
846,高価な,expensive
847,安い　c,cheap
848,多い,large
849,少ない　小さい,small
850,見積もる,estimate
851,測定された,measure
852,分ける,divide
853,足す　加える,add
854,に達する　多額の,amount
855,できる　有能,able
856,能力がある　できる,capable
857,可能,possible
858,態度,attitude
859,方法　やり方,manner
860,くせ　習慣,habit
861,約束,appointment
862,関心,concern
863,情勢,affair
864,意見一致,consensus
865,公表する,announce
866,挨拶　迎える,greet
867,しかる,scold
868,悲鳴をあげる,scream
869,口論する,quarrel
870,呼吸する,breathe
871,ため息をつく,sigh
872,標準的な,normal
873,平凡な,ordinary
874,平均的な,average
875,定期的な,regular
876,珍しい,rare
877,特定の,particular
878,相対的な,relative
879,出版する,publish
880,印刷される,print
881,放送する,broadcast
882,創造する,create
883,建設する,design
884,(マス)メディア,media
885,殺す,murder
886,逮捕する,arrest
887,を押収　つかむ,seize
888,囲まれ,surround
889,虐げる,oppress
890,危険な,dangerous
891,無駄な,useless
892,不可能な,impossible
893,便利な,convenient
894,必要な,necessary
895,話題　議題,topic
896,指揮,direction
897,結果,result
898,結論,conclusion
899,機会,opportunity
900,おもな、主要な,principal
901,正反対の,opposite
902,世論調査,poll
903,尊敬する,respect
904,感謝する,admire
905,の良さがわかる,appreciate
906,委員会(committeeより上位),board
907,委員会,committee
908,声明,statement
909,戦略,strategy
910,得る,gain
911,を手に入れる,obtain
912,得点する,score
913,がない,lack
914,を減らす,decrease
915,に取って代わる,replace
916,を取り去る,remove
917,を採用する,adopt
918,じっと見る,stare
919,を発見する,discover
920,しようと努めている,seek
921,捜索する,search
922,誰かわかる,recognize
923,忠告　アドバイス,advise
924,手荷物,baggage
925,家具,funiture
926,情報,information
927,機械装置,machinery
928,報道　ニュース,news
929,群れ(鳥、羊),flock
930,群れ(牛、馬),herd
931,群れ(魚),school
932,日陰,shade
933,影,shadow
934,歯科医,dentist
935,外科医,surgeon
936,医者,physician
937,宿題,homework
938,家事,housework
939,詩,peotry
940,風景,scenery
941,楽しみ,fun
942,経済,economy
943,価格,price
944,貿易,trade
945,産業,industry
946,損失,loss
947,消費者,consumer
948,関税,duty
949,残高　,balance
950,を保証する,guarantee
951,に加わる,join
952,に参加した,participate
953,準備された,organize
954,協力し,unite
955,自分意思を伝える,make oneself understand
956,生計を立てる,make a living
957,...に道を譲る,make way for ...
958,やっとのことで進んだ,make one's way
959,...のほうへ向かう,make for ...
960,気楽にする,make oneself at home
961,...と友達になる,make friends with ...
962,...を~と見分ける,tell ... from
963,...をしかる,tell ... off
964,遠慮なく~する,feel free to do
965,落ち着かない感じがする,feel ill at ease
966,現れる,show up
967,...を提出する,hand in ...
968,~ができるようになる,learn to do
969,...をじっくり考える,think over ...
970,...するときはいつも,every time ...
971,次々と,one after another
972,連続して,on end
973,たいてい,more often than not
974,断続的に,on and off
975,時々,once in a while
976,きっぱりと,once and for all
977,長い目で見れば,in the long run
978,~するとすぐに(部屋),as soon as ...
979,~するとすぐに(家）,the moment ...
980,...すると同時に(彼),no sooner ... than
981,...すると同時に(私),hardly ... when
982,...するとすぐに(私),directly
983,AもBも,both A and B
984,AではなくB,not A but B
985,AだけでなくBもまた,not only A but B
986,AかBのどちらか,either A or B
987,AもBも~ない,neither A nor B
988,~するように(彼女),so that
989,~するために(新たな医療法),in order that
990,...しないように,for fear
991,...するといけないから,in case
992,...とは関係ない,have nothing to do with
993,無駄に,for nothing
994,...しかない,nothing but
995,...の調子が悪い,something is wrong with
996,...をなんとも思わない,think nothing of
997,~するには...すぎる,too ... to do
998,~するのに十分,enough to do
999,~するほどに,so ... as to do
1000,~するために,in order to do
1001,~しないように(誰の),in order not to do
1002,~するために,so as to do
1003,~しないように(その小さな男の子),so as not to do
1004,1. することになっている 2. するつもりである 3. しなければならない 4. できる,be to do
1005,<<否定文で>>どうしても~ない,for the life of me
1006,どんな状況でも~ない,under no circumstances
1007,滅多に~ない,"seldom, if ever"
1008,論外で,out of the question
1009,できることなら,if one can help it
1010,一般的に言えば,generally speaking
1011,...といえば,speaking of
1012,...から判断すると,judging from
1013,...を考慮すると,considering
1014,天気が良ければ,weather permitting
1015,腕を組んで,with one's arms folded
1016,~しなさい,had better do
1017,~すべきだ,ought to do
1018,~する必要がない,need not do
1019,~できない,there is no -ing
1020,~したい気がする,feel like -ing
1021,~するのはどうですか,how about -ing?
1022,~するのを楽しみに待つ,look forward to -ing
1023,~するのに慣れている,be used to -ing
1024,~するのに反対する,object to -ing
1025,~ということになると,when it comes to -ing
1026,~される必要がある,need -ing
1027,...ということは言うまでもなく,it goes without saying that
1028,利益(貿易),profit
1029,利益(クレジットカード),benefit
1030,富,wealth
1031,価値,value
1032,資本,capital
1033,分け前,share
1034,兵器,arms
1035,軍隊,forces
1036,商品,goods
1037,手段,means
1038,気分,spirits
1039,身長,height
1040,広い,broad
1041,巨大な,huge
1042,とても小さい,tiny
1043,たった1つの,single
1044,深さ,depth
1045,運賃,fare
1046,料金(講座),fee
1047,料金(サービス),charge
1048,お勘定,bill
1049,入場料,admission
1050,税金,tax
1051,投票する,vote
1052,稼ぐ　生計を立てる,earn
1053,雇う,employ
1054,雇う　一時的,hire
1055,輸出する,export
1056,輸入する,import
1057,保護する,protect
1058,配達する,deliver
1059,収入,income
1060,給与,salary
1061,賃金,wage
1062,給料,pay
1063,遅らせる,delay
1064,じゃまをする(妨害),disturb
1065,じゃま 面倒,bother
1066,無視,ignore
1067,騙す,trick
1068,ねだる,beg
1069,依頼人,client
1070,聴衆,audience
1071,観客,spectator
1072,乗客,passenger
1073,客,customer
1074,宿泊客,guest
1075,分ける,separate
1076,つなぐ,connect
1077,構成させる,consist
1078,比較する,compare
1079,を取っておく,reserve
1080,仕事,work
1081,労働,labor
1082,仕事,job
1083,一定期間ですべき仕事,task
1084,専門の職業,profession
1085,職業,occupation
1086,馬車,carriage
1087,貨物,freight
1088,積荷,load
1089,ハンドル、運転,wheel
1090,激しく,hard
1091,ほとんど～ない,hardly
1092,ちょうど,just
1093,公正に,justly
1094,遅れて,late
1095,最近,lately
1096,～の近くに,near
1097,もう少しで,nearly
1098,生きている,living
1099,大変貴重な,priceless
1100,価値のない,worthless
1101,まさにその,very
1102,もっとも,most
1103,たいていは,mostly
1104,かなり,pretty
1105,かわいらしく,prettily
1106,きっかりと,sharp
1107,鋭く,sharply
1108,数字,figure
1109,合計,sum
1110,量,quantity
1111,4分の1,quarter
1112,2倍になる,double
1113,輸送され,transport
1114,転勤する,transfer
1115,歩き回って,wander
1116,少し動く,shift
1117,出発する,depart
1118,伝える,convey
1119,降りる,descend
1120,移住する,immigrate
1121,議長,chairperson
1122,議会,conference
1123,財政上の,financial
1124,会社,firm
1125,記事,item
1126,経営者,manager
1127,秘書,secretary
1128,署名,signature
1129,引き受ける,undertake
1130,果たす,fulfill
1131,設立する,establish
1132,建設する,construct
1133,維持する,maintain
1134,従事する,engage
1135,紙片,slip
1136,職員,staff
1137,スーツ,suit
1138,手で行う,manual
1139,対処,deal
1140,銘柄,brand
1141,祝う,congratulate
1142,保証した,assure
1143,断言した,declare
1144,説明する,illustrate
1145,明確に表す,demonstrate
1146,展示する,exhibit
1147,聖,holy
1148,慈悲,mercy
1149,信念深く,religious
1150,罪,sin
1151,信頼,faith
1152,信念,belief
1153,栄光,glory
1154,神聖な,sacred
1155,永遠の,eternal
1156,拝む,worship
1157,祈る,pray
1158,恵まれている,bless
1159,認めた,confess
1160,犠牲にする,sacrifice
1161,裁判所,court
1162,弁護士,lawyer
1163,証拠,proof
1164,被害者,victim
1165,目撃者,witness
1166,裁判,trial
1167,霧,fog
1168,洪水,flood
1169,典型的な,typical
1170,そよ風,breeze
1171,霧,frost
1172,湿った,moist
1173,湿気の多い,humid
1174,温度計,thermometer
1175,雷鳴,thunder
1176,契約,contract
1177,無罪の,innocent
1178,公平,justice
1179,合法的な,legal
1180,刑務所,prison
1181,危険や音などに　晒す,expose
1182,現れる,emerge
1183,明らかにする,reveal
1184,示唆する,imply
1185,生じた,arise
1186,生み出す,generate
1187,痛み,ache
1188,救急車,ambulance
1189,慰める,comfort
1190,耳が聞こえない,deaf
1191,薬,drug
1192,疲労,fatigue
1193,筋肉,muscle
1194,治療,remedy
1195,症状,symptom
1196,汗,sweat
1197,バクテリア,bacteria
1198,準備する,prepare
1199,備え付ける,equip
1200,家具が備え付ける,furnish
1201,けだもの,beast
1202,生物学,biology
1203,植物学,botany
1204,細胞,cell
1205,生態学,ecology
1206,羽毛,feather
1207,毛皮,fur
1208,昆虫,insect
1209,本能,instinct
1210,進化,evolution
1211,教育を受けた,educated
1212,理解,comprehend
1213,調査している,examining
1214,文化的な,cultural
1215,民族,folk
1216,人類,humanity
1217,住民,inhabitant
1218,原始の,primitive
1219,野蛮な,savage
1220,奴隷,slave
1221,種族,tribe
1222,民族の,ethnic
1223,出稼ぎの,migrant
1224,区別する,distinguish
1225,再検討され,review
1226,吸収，夢中,absorb
1227,うし,cattle
1228,肥えた,fertile
1229,ペスト,plague
1230,いなかの,rural
1231,雑草,weed
1232,小麦,wheat
1233,小麦粉,flour
1234,"産出量,に負ける",yield
1235,有機,organic
1236,縛って,bind
1237,しっかり縛って,grasp
1238,処理した,handle
1239,絞る,squeeze
1240,候補者,candidate
1241,"市民の,+war＝内戦",civil
1242,連邦会議,congress
1243,憲法,constitution
1244,王国,kingdom
1245,自由,liberty
1246,軍事,military
1247,をかき回す,stir
1248,裂く,tear
1249,拭く,wipe
1250,めり込む,stuff
1251,国会,parliament
1252,政治 的な,political
1253,共和国,republic
1254,大臣,minister
1255,大変革,revolution
1256,条約,treaty
1257,知事,governor
1258,会議,convention
1259,廃止される,abolish
1260,告発される,accuse
1261,犯した,commit
1262,相続した,inherit
1263,原子の,atom
1264,多量,mass
1265,原子力,nuclear
1266,酸素,oxygen
1267,水素,hydrogen
1268,球,sphere
1269,顕微鏡,microscope
1270,塩化物,chloride
1271,酸性,acid
1272,任命された,appoint
1273,統治,govern
1274,を課す,impose
1275,街,district
1276,地形,geography
1277,世界,globe
1278,港,harbor
1279,地方,region
1280,筋道,route
1281,領,territory
1282,都市の,urban
1283,範囲,range
1284,に抗議,protest
1285,反対した,oppose
1286,口をはさむ,interrupt
1287,に支障を来たす,interfere
1288,...をからかう,make fun of
1289,(話・嘘など）をでっちあげる,make up
1290,...を補う,make up for
1291,...を考慮に入れる,make allowance for
1292,~することにしている,make it a rule to do
1293,を作る,work out
1294,話に割り込む,cut in
1295,車を止める,pull up
1296,をからかう,pull one's leg
1297,...を思いつく,hit on
1298,口論する,fall out
1299,に応える,live up to
1300,...の責任を負う,answer for
1301,シャツを着替える,change shirts
1302,列車を乗り換える,change trains
1303,握手をする,shake hands
1304,時代遅れの,behind the times
1305,まだ~ない,as of yet
1306,前もって,in advance
1307,すぐに,in no time
1308,まもなく,before long
1309,永遠に,for good
1310,よく〜したものだった,would often do
1311,〜したいと思う,would like to do
1312,いくら...してもしすぎではない,cannot be too
1313,いくら...して足りない,cannot ... enough
1314,するのももっともだ,may well do
1315,した方が良い,may as well do
1316,〜するぐらいなら...する方がましだ,may as well ... as
1317,よくも図々しく...できるね,How dare ... ?
1318,...を担当している,be in charge of
1319,...次第である,be up to
1320,まだ〜していない,be yet to do
1321,裕福である,be well off
1322,を終える,be through with
1323,進行中である,be under way
1324,に慣れている,be at home in
1325,...と仲が良い,be on good terms with
1326,約束を果たす,be as good as one's word
1327,的外れである,be beside the point
1328,AというよりはむしろB,not so much A as B
1329,さえしない,not so much as do
1330,どの〜にも劣らず,as ... as any
1331,...もの,as many as
1332,もし...ならば,provided that
1333,...という条件で,on condition that
1334,たとえ...だとしても,even if
1335,...だけれども,although
1336,...しないか限り,unless
1337,小さくはあるが,Small as
1338,ところがそれに対して,whereas
1339,...しようがしまいが,whether ... or not
1340,...しか〜ない,no more than
1341,せいぜい...しか〜ない,not more than
1342,...も,no less than
1343,少なくとも...,not less than
1344,Cが(D)と同様にAはBではない,A is no more B than C is
1345,Cが(D)と同様にAはBである,A is no less B than C is
1346,...経由で,by way of
1347,必ず,without fail
1348,...を除いては,apart from
1349,〜の好みに合った,to one's taste
1350,考え直して,on second thought
1351,つかまっていない,at large
1352,いないところで,behind one's back
1353,すればするほど〜ますます,"the more ..., the more"
1354,なのでますます,all the better for
1355,だからと言って〜と言う訳ではない,none the easier because
1356,するほど愚かではない,know better than to
1357,に興味がある,be interested in
1358,に知られている ，で分かる [ ， ]でかけ,be known to
1359,で覆われている,be covered with
1360,にあう,be caught in
1361,に満足している,be satisfied with
1362,で怪我をする,be injured in
1363,で死ぬ,be killed in
1364,現在の私,what I am today
1365,以前の彼女,what she used to be
1366,AのBに対する関係はCのDに対する関係に等しい,A is to B what C is to D
1367,いわゆる,what is called
1368,さらに悪いことに,what is worse
1369,の財産,what one has
1370,やら〜やらで,what with ... and
1371,追い越す,overtake
1372,追求する,pursue
1373,捜し出す,trace
1374,追跡記録する,track
1375,2言語使用の,bilingual
1376,通訳する,interpret
1377,流暢な,fluent
1378,獲得する,acquire
1379,詳しく説明する,describe
1380,送信する,transmit
1381,身振り,gesture
1382,口頭の,verbal
1383,重さ,weight
1384,計算する,calculate
1385,掛ける,multiply
1386,下げる,lower
1387,方言,dialect
1388,なまり,accent
1389,言語,tongue
1390,自由に操る,command
1391,字,character
1392,文字,letter
1393,用語,term
1394,感じる,sense
1395,思い込む,assume
1396,認める,acknowledge
1397,対比する,contrast
1398,得る,derive
1399,を思い出す,recall
1400,発見する,detect
1401,分類する,classify
1402,語彙力,vocabulary
1403,文法,usage
1404,翻訳する,translate
1405,法,code
1406,表現する,represent
1407,慣らす,accustom
1408,改造する,adapt
1409,添付する,attach
1410,わずかに異なる,differ
1411,大きく異なる,vary
1412,言語の,linguistic
1413,文脈,context
1414,先入観,bias
1415,意思の疎通,communication
1416,定義する,define
1417,表現する,express
1418,生まれた，自国の,native
1419,競争,compete
1420,立ちはだかる,confront
1421,負ける，破る,defeat
1422,守る，防御,defend
1423,知性,intellect
1424,知的,intelligent
1425,技術,skill
1426,資格,qualify
1427,能力,ability
1428,可能性,potential
1429,賞,award
1430,名誉,honor
1431,伸びる,extend
1432,痛める,strain
1433,伸ばす,stretch
1434,続行する,proceed
1435,促進する,promote
1436,広まる,prevail
1437,修練,discipline
1438,集中,concentrate
1439,刺激する,stimulate
1440,評価する,evaluate
1441,無視する,neglect
1442,自発的な,voluntary
1443,侮辱する,insult
1444,軽蔑する,despise
1445,反論した,dispute
1446,優勢である,dominate
1447,感情を害する,offend
1448,いじめる,bully
1449,裏切る,betray
1450,騙す,deceive
1451,研究,research
1452,学説,theory
1453,観点,perspective
1454,実践的な，実地の,practical
1455,学問的な,academic
1456,驚かせる,astonish
1457,恥ずかし思いをさせる,embarrass
1458,魅了する,fascinate
1459,怖がらせる，おどかす,frighten
1460,怖がらせる,scare
1461,感銘を与える,impress
1462,自慢する,boast
1463,解決する,resolve
1464,成し遂げる,accomplish
1465,業績,achievement
1466,強調する,emphasize
1467,施設,institution
1468,統計,statistics
1469,捕獲,capture
1470,征服する,conquer
1471,侵略する,invade
1472,占める,occupy
1473,解放する,release
1474,植民地,colony
1475,能力,faculty
1476,天才,genius
1477,知的な,intellectual
1478,講義,lecture
1479,学者,scholar
1480,研究者,researcher
1481,専門,specialize
1482,抵抗する　我慢する,resist
1483,固執する,persist
1484,耐える,endure
1485,投資する,invest
1486,母親の,maternal
1487,甘やかす,spoil
1488,権威,authority
1489,独特な,unique
1490,能力,capacity
1491,拒絶する,reject
1492,断る,decline
1493,避ける,dismiss
1494,ゴミ,garbage
1495,破壊,destruction
1496,開発する,exploit
1497,化学物質,chemical
1498,被害,damage
1499,エネルギー,energy
1500,化石,fossil
1501,救助する,rescue
1502,補助する,assist
1503,保証する,ensure
1504,相談する,consult
1505,寄付する，貢献する,contribute
1506,捧げる,devote
1507,発行する,issue
1508,配る,distribute
1509,与える,grant
1510,拡張する,expand
1511,制限する,limit
1512,毒,poison
1513,排出する,emission
1514,集まる,assemble
1515,結合する,combine
1516,遭遇する,encounter
1517,同行する,accompany
1518,構成する,compose
1519,大気,atmosphere
1520,干ばつ,drought
1521,耕す,cultivate
1522,タネ,species
1523,餓死する,starve
1524,"保存する,保護する",preserve
1525,生態系,ecosystem
1526,見つめる,gaze
1527,チラリと見る,glance
1528,チラリ見える(意識しない),glimpse
1529,環境,environment
1530,保護,conservation